brand_id,brand_name,hq_office,hq_address,lat,lon,country,country_code,founded,last_Y,last_Ninc,Y,IPO,employees,webpage
47,KB Home,KB Home,"10990 Wilshire Boulevard, Los Angeles, CA 90024, USA",34.0522,-118.444,United States,US,1957,6540,590,2023,KBH,1800,https://www.kbhome.com/
48,Ackermans & Van Haaren,Ackermans & Van Haaren NV,"Begijnenstraat 5, 2000 Antwerp, Belgium",51.2194,4.4024,Belgium,BE,1905,6280,290,2023,ACKB.BR,28000,https://www.avh.be/
49,Lendlease,Lendlease Group,"Tower Three, International Towers Sydney, 300 Barangaroo Avenue, Barangaroo NSW 2000, Australia",-33.8612,151.2014,Australia,AU,1958,6150,-144,2023,LLC,7600,https://www.lendlease.com/
50,Sacyr,Sacyr SA,"Calle Condesa de Venadito 9, 28027 Madrid, Spain",40.4371,-3.6185,Spain,ES,1986,6140,210,2023,SCYR.MC,35000,https://www.sacyr.com/
51,Meritage Homes,Meritage Homes Corporation,"8800 East Raintree Drive, Suite 300, Scottsdale, AZ 85260, USA",33.6115,-111.922,United States,US,1985,6040,820,2023,MTH,1800,https://www.meritagehomes.com/
52,NCC,NCC AB,"Vallgatan 5, SE-170 80 Solna, Sweden",59.3584,17.9856,Sweden,SE,1988,5890,77,2023,NCC B.ST,12517,https://www.ncc.se/en/
53,Peab,Peab AB,"Södra Promenaden 15, SE-260 83 Förslöv, Sweden",56.3039,12.8639,Sweden,SE,1959,5770,125,2023,PEAB B.ST,14157,https://www.peab.se/
54,JGC Holdings,JGC Holdings Corporation,"2-1-1 Ohtemachi, Chiyoda-ku, Tokyo 100-0004, Japan",35.6872,139.763,Japan,JP,1929,5670,-120,2023,1963.T,15000,https://www.jgc.com/en/
55,INFRONEER Holdings,INFRONEER Holdings Inc.,"4-6 Kojimachi, Chiyoda-ku, Tokyo 102-8510, Japan",35.6828,139.744,Japan,JP,2016,5400,180,2023,5076.T,25000,https://www.infroneer.com/
56,Barratt Redrow,Barratt Developments plc,"Barratt House, Cartwright Way, Forest Business Park, Bardon Hill, Leicestershire LE67 1UF, UK",52.7076,-1.3291,United Kingdom,GB,1958,5270,320,2023,BTRW.L,15000,https://www.barrattdevelopments.co.uk/
57,Tutor Perini,Tutor Perini Corporation,"15901 Olden Street, Sylmar, CA 91342, USA",34.3075,-118.447,United States,US,1894,5100,-95,2023,TPC,8000,https://www.tutorperini.com/
58,Webuild,Webuild S.p.A.,"Via Milano 3, 20097 San Donato Milanese, Milan, Italy",45.4198,9.2662,Italy,IT,1994,5050,-180,2023,WBD.MI,85000,https://www.webuildgroup.com/
59,Obrascón Huarte Lain,OHLA Obrascón Huarte Lain SA,"Calle Velázquez 134, 28046 Madrid, Spain",40.4371,-3.6891,Spain,ES,1911,4950,-95,2023,OHLA.MC,24000,https://www.ohla-group.com/
60,Kier Group,Kier Group plc,"Tempo House, 15 Falcon Road, London SW11 2PJ, UK",51.4679,-0.1657,United Kingdom,GB,1928,4930,45,2023,KIE.L,22000,https://www.kier.co.uk/
61,Vistry Group,Vistry Group plc,"11 Tower View, Kings Hill, West Malling ME19 4UY, UK",51.2747,0.4053,United Kingdom,GB,2020,4740,320,2023,VTY.L,12000,https://www.vistrygroup.co.uk/
62,Fletcher Building,Fletcher Building Limited,"810 Great South Road, Penrose, Auckland 1061, New Zealand",-36.9167,174.783,New Zealand,NZ,2001,4680,180,2023,FBU.NZ,15000,https://www.fletcherbuilding.com/
63,Dream Finders Homes,Dream Finders Homes Inc.,"14701 Philips Highway, Jacksonville, FL 32256, USA",30.1699,-81.5978,United States,US,2009,4670,380,2023,DFH,1600,https://www.dreamfindershomes.com/
64,Taylor Wimpey,Taylor Wimpey plc,"Gateway House, Gatehouse Way, Aylesbury HP19 8UR, UK",51.8185,-0.8128,United Kingdom,GB,1930,4470,380,2023,TW.L,4500,https://www.taylorwimpey.co.uk/
65,M/I Homes,M/I Homes Inc.,"3 Easton Oval, Columbus, OH 43219, USA",40.0431,-82.9194,United States,US,1976,4470,420,2023,MHO,2100,https://www.mihomes.com/
66,Emaar Properties,Emaar Properties PJSC,"P.O. Box 9440, Dubai, United Arab Emirates",25.1972,55.2742,United Arab Emirates,AE,1997,6793,1998,2023,EMAAR,9429,https://www.emaar.com/
67,DEME Group,DEME Group NV,"Scheldedijk 30, 9140 Temse, Belgium",51.1264,4.2139,Belgium,BE,1902,4260,185,2023,DEME.BR,5200,https://www.deme-group.com/
68,Granite Construction,Granite Construction Inc.,"585 West Beach Street, Watsonville, CA 95076, USA",36.9102,-121.757,United States,US,1922,4230,85,2023,GVA,8700,https://www.graniteconstruction.com/
69,Century Communities,Century Communities Inc.,"8390 E. Crescent Parkway, Greenwood Village, CO 80111, USA",39.6133,-104.887,United States,US,2002,4150,520,2023,CCS,1800,https://www.centurycommunities.com/
70,Kandenko,Kandenko Co. Ltd.,"4-8-33 Shiba, Minato-ku, Tokyo 108-8533, Japan",35.6544,139.746,Japan,JP,1944,4070,95,2023,1942.T,18000,https://www.kandenko.co.jp/english/
71,Persimmon,Persimmon plc,"Persimmon House, Fulford, York YO19 4FE, UK",53.9432,-1.0619,United Kingdom,GB,1972,4010,250,2023,PSN.L,5000,https://www.persimmonhomes.com/
72,Implenia,Implenia AG,"Thurgauerstrasse 101A, 8152 Glattpark, Switzerland",47.4114,8.5776,Switzerland,CH,2006,3940,95,2023,IMPN.SW,10000,https://www.implenia.com/
73,Veidekke,Veidekke ASA,"Skøyen Atrium, Skøyen, 0212 Oslo, Norway",59.9139,10.7522,Norway,NO,1936,3910,185,2023,VEI.OL,8500,https://www.veidekke.com/
74,Shandong Hi-Speed,Shandong Hi-Speed Group Co. Ltd.,"Jinan, Shandong Province, China",36.6512,117.120,China,CN,1993,3770,120,2023,600350.SS,45000,https://www.sdhs.com.cn/
75,Tri Pointe Homes,Tri Pointe Homes Inc.,"19520 Jamboree Road, Irvine, CA 92612, USA",33.6846,-117.826,United States,US,2007,3750,320,2023,TPH,1100,https://www.tripointehomes.com/
76,TODA Corporation,TODA Corporation,"1-19-1 Ginza, Chuo-ku, Tokyo 104-0061, Japan",35.6744,139.763,Japan,JP,1881,3550,120,2023,1860.T,16000,https://www.todakenchiku.co.jp/english/
77,Aecon Group,Aecon Group Inc.,"2005 Sheppard Avenue East, Suite 400, Toronto, ON M2J 5B4, Canada",43.768,-79.339,Canada,CA,1877,5199,83,2023,ARE,12000,https://www.aecon.com/
78,MYR Group,MYR Group Inc.,"1701 Golf Road, Rolling Meadows, IL 60008, USA",42.0795,-87.9892,United States,US,1947,3510,85,2023,MYRG,7500,https://www.myrgroup.com/
79,Per Aarsleff Holding,Per Aarsleff Holding A/S,"Granskoven 8, 8660 Skanderborg, Denmark",56.0369,9.9322,Denmark,DK,1926,3250,95,2023,PAAL-B.CO,11500,https://www.aarsleff.com/
80,Hovnanian Enterprises,Hovnanian Enterprises Inc.,"90 Matawan Road, Fifth Floor, Matawan, NJ 07747, USA",40.4092,-74.2333,United States,US,1959,3140,-85,2023,HOV,1800,https://www.khov.com/
81,The Berkeley Group,Berkeley Group Holdings plc,"Berkeley House, 19 Portsmouth Road, Cobham KT11 1JG, UK",51.3296,-0.4103,United Kingdom,GB,1976,3070,310,2023,BKG.L,2500,https://www.berkeleygroup.co.uk/
82,Bellway,Bellway plc,"Woolsington House, Woolsington, Newcastle upon Tyne NE13 8BF, UK",55.0289,-1.6885,United Kingdom,GB,1946,3050,290,2023,BWY.L,3000,https://www.bellway.co.uk/
83,Installed Building Products,Installed Building Products Inc.,"495 South High Street, Suite 50, Columbus, OH 43215, USA",39.9612,-82.9988,United States,US,1978,2970,180,2023,IBP,11000,https://www.installedbuildingproducts.com/
84,AF Gruppen,AF Gruppen ASA,"Stortorvet 10, 0184 Oslo, Norway",59.9139,10.7522,Norway,NO,1986,2890,95,2023,AFG.OL,12000,https://www.afgruppen.com/
85,ENKA,ENKA İnşaat ve Sanayi A.Ş.,"Söğütözü Cad. No. 14, 06510 Ankara, Turkey",39.9255,32.8662,Turkey,TR,1957,2840,120,2023,ENKAI.IS,25000,https://www.enka.com/
86,Arcosa,Arcosa Inc.,"500 N. Akard Street, Suite 400, Dallas, TX 75201, USA",32.7848,-96.8,United States,US,2018,2830,180,2023,ACA,8500,https://www.arcosa.com/
87,Kalpataru Power Transmission,Kalpataru Projects International Ltd.,"Kalpataru Square, Kondivita Road, Andheri East, Mumbai 400 059, India",19.1136,72.8697,India,IN,1981,2770,85,2023,KPIL.NS,12000,https://www.kalpatarupower.com/
88,KEC International,KEC International Ltd.,"KEC House, 463 Dr. Annie Besant Road, Worli, Mumbai 400 030, India",18.9874,72.8153,India,IN,1945,2660,45,2023,KEC.NS,9000,https://www.kecl.com/
89,Elecnor,Elecnor SA,"Calle Pradillo 42, 28002 Madrid, Spain",40.4371,-3.6743,Spain,ES,1958,2660,75,2023,ENO.MC,22000,https://www.elecnor.com/
90,Champion Homes,Skyline Champion Corporation,"755 West Big Beaver Road, Troy, MI 48084, USA",42.5634,-83.1397,United States,US,1953,2620,95,2023,SKY,6700,https://www.skylinechampion.com/
91,Shikun & Binui,Shikun & Binui Ltd.,"1 Yitzhak Sadeh Street, Tel Aviv 60460, Israel",32.0853,34.7818,Israel,IL,1924,2590,85,2023,SKBN.TA,14000,https://www.shikunbinui.com/
92,NCC Limited,NCC Limited,"NCC House, Madhapur, Hyderabad 500 081, India",17.4485,78.3908,India,IN,1978,2540,55,2023,NCC.NS,15000,https://www.ncclimited.com/
93,Bird Construction,Bird Construction Inc.,"5700 Explorer Drive, Suite 400, Mississauga, ON L4W 0C6, Canada",43.647,-79.625,Canada,CA,1920,3096,51,2023,BDT,5000,https://www.bird.ca/
94,Construction Partners,Construction Partners Inc.,"290 Healthwest Drive, Suite 2, Dothan, AL 36303, USA",31.2232,-85.3905,United States,US,2001,2450,95,2023,ROAD,3000,https://www.constructionpartners.com/
95,Beazer Homes,Beazer Homes USA Inc.,"1000 Abernathy Rd NE, Suite 260, Atlanta, GA 30328, USA",33.948,-84.359,United States,US,1985,2380,271,2023,BZH,1100,https://www.beazer.com/
96,Budimex,Budimex SA,"ul. Marszałkowska 104, 00-014 Warsaw, Poland",52.2297,21.0122,Poland,PL,1968,2340,120,2023,BDX.WA,15000,https://www.budimex.pl/
97,Galliford Try,Galliford Try Holdings plc,"Cowley Business Park, Cowley, Uxbridge UB8 2AL, UK",51.5074,-0.4784,United Kingdom,GB,1908,2240,65,2023,GFRD.L,10000,https://www.gallifordtry.co.uk/
98,Sterling Infrastructure,Sterling Infrastructure Inc.,"1800 Hughes Landing Boulevard, The Woodlands, TX 77380, USA",30.1654,-95.4663,United States,US,1932,2230,155,2023,STRL,5000,https://www.sterlinginfrastructure.com/
99,Gek Terna,Gek Terna SA,"85 Mesogeion Avenue, 115 26 Athens, Greece",37.9838,23.7275,Greece,GR,1963,2170,85,2023,GEKTERNA.AT,7000,https://www.gekterna.com/
100,Grupo Empresarial San José,Grupo Empresarial San José SA,"Ronda de Toledo 22, 28005 Madrid, Spain",40.4074,-3.7093,Spain,ES,1952,2120,55,2023,GSJ.MC,15000,https://www.gruposanjose.com/
101,Green Brick Partners,Green Brick Partners Inc.,"2805 Dallas Parkway, Suite 400, Plano, TX 75093, USA",33.0198,-96.6989,United States,US,2006,2110,310,2023,GRBK,1200,https://www.greenbrickpartners.com/
102,Okumura Corporation,Okumura Corporation,"2-2-2 Uchisaiwaicho, Chiyoda-ku, Tokyo 100-0011, Japan",35.6744,139.753,Japan,JP,1907,1960,55,2023,1833.T,6500,https://www.okumura.co.jp/english/
103,YIT,YIT Oyj,"Panuntie 11, 00620 Helsinki, Finland",60.2264,24.9323,Finland,FI,1912,2470,-25,2023,YIT.HE,4324,https://www.yitgroup.com/
